time,temp(D16),pH(A0),sensor(V)
00:07:43,28.8125,-107.31569,2.1555744
00:07:44,28.875,-107.18083,2.1537214
00:07:46,28.875,-106.94629,2.1504986
00:07:47,28.9375,-106.8114,2.1486454
00:07:49,28.9375,-106.571016,2.1453424
00:07:50,29.0,-106.34819,2.1422808
00:07:52,29.0,-106.04915,2.138172
00:07:53,29.0625,-105.65628,2.1327738
00:07:55,29.0625,-105.298616,2.1278596
00:07:56,29.125,-104.84125,2.1215754
00:07:58,29.1875,-104.395616,2.1154524
00:07:59,29.1875,-103.79166,2.107154
00:08:01,29.25,-103.076296,2.0973248
00:08:02,29.25,-101.44621,2.0749274
00:08:04,29.3125,-96.1301,2.0018838
00:08:05,29.3125,-87.38158,1.8816788
00:08:07,29.3125,-77.26902,1.7427318
00:08:08,29.375,-69.30256,1.6332724
00:08:10,29.375,-65.64953,1.5830796
00:08:11,29.375,-64.253976,1.5639046
00:08:13,29.375,-63.52688,1.5539143
00:08:14,29.375,-62.975708,1.5463412
00:08:16,29.375,-62.54181,1.5403794
00:08:17,29.375,-62.18412,1.5354648
00:08:19,29.3125,-61.920264,1.5318394
00:08:20,29.3125,-61.650528,1.5281332
00:08:22,29.375,-61.34562,1.5239437
00:08:24,29.3125,-61.128664,1.5209627
00:08:25,29.3125,-61.00553,1.5192709
00:08:28,29.25,-60.823752,1.5167732
00:08:29,29.25,-60.64785,1.5143564
00:08:30,29.25,-60.50712,1.5124227
00:08:32,29.1875,-60.407448,1.5110532
00:08:33,29.1875,-60.354676,1.510328
00:08:35,29.1875,-60.19049,1.5080721
00:08:36,29.125,-60.149452,1.5075083
00:08:38,29.125,-60.026312,1.5058164
00:08:39,29.125,-59.95009,1.5047691
00:08:41,29.0625,-59.903168,1.5041244
00:08:42,29.0625,-59.71553,1.5015463
00:08:44,29.0625,-59.639312,1.500499
00:08:45,29.0625,-59.55722,1.499371
00:08:47,29.0,-59.510324,1.4987266
00:08:48,29.0,-59.393036,1.4971151
00:08:50,29.0,-59.434083,1.4976791
00:08:52,28.9375,-59.281616,1.4955842
00:08:53,28.9375,-59.240576,1.4950204
00:08:55,28.9375,-59.181944,1.4942148
00:08:56,28.9375,-59.094,1.4930064
00:08:58,28.875,-59.094,1.4930064
00:08:59,28.875,-59.02948,1.4921199
00:09:01,28.875,-58.97087,1.4913145
00:09:02,28.8125,-58.970848,1.4913143
00:09:04,28.8125,-58.888764,1.4901864
00:09:05,28.8125,-58.871176,1.4899448
00:09:07,28.8125,-58.759772,1.488414
00:09:08,28.8125,-58.665948,1.4871249
00:09:10,28.75,-58.72458,1.4879305
00:09:11,28.75,-58.648352,1.4868832
00:09:13,28.6875,-58.64836,1.4868833
00:09:14,28.6875,-58.56627,1.4857553
00:09:16,28.6875,-58.542816,1.4854331
00:09:17,28.6875,-58.47245,1.4844662
00:09:19,28.6875,-58.53109,1.4852719
00:09:20,28.6875,-58.46659,1.4843857
00:09:22,28.6875,-58.39035,1.4833382
00:09:23,28.625,-58.37278,1.4830967
00:09:25,28.625,-58.390364,1.4833384
00:09:26,28.625,-58.26722,1.4816464
00:09:28,28.625,-58.290672,1.4819686
00:09:29,28.5625,-58.22032,1.481002
00:09:31,28.5625,-58.179268,1.4804379
00:09:32,28.5625,-58.243776,1.4813242
00:09:34,28.5625,-58.132356,1.4797933
00:09:35,28.5625,-58.14995,1.4800351
00:09:37,28.5,-58.07959,1.4790683
00:09:38,28.5625,-58.079596,1.4790684
00:09:40,28.5,-58.032684,1.4784238
00:09:41,28.5,-58.05027,1.4786655
00:09:43,28.5,-57.956444,1.4773764
00:09:44,28.4375,-57.956444,1.4773764
00:09:46,28.4375,-57.933008,1.4770542
00:09:47,28.4375,-57.938858,1.4771347
00:09:48,28.375,-57.96231,1.4774569
00:09:50,28.375,-57.8685,1.4761679
00:09:51,28.375,-57.792268,1.4751206
00:09:53,28.375,-57.856764,1.4760068
00:09:54,28.375,-57.827452,1.4756039
00:09:56,28.375,-57.751236,1.4745567
00:09:57,28.375,-57.75122,1.4745566
00:09:59,28.375,-57.733636,1.4743149
00:10:00,28.3125,-57.704324,1.4739121
00:10:02,28.3125,-57.733636,1.4743149
00:10:03,28.3125,-57.71604,1.4740732
